id_str	concept	No	Yes	total	percent_no	percent_yes	model	score
1000148310345289729	war	5.0	3.0	8.0	0.625	0.375	baseline_sbert-carrier	0.1747525
1000225752724291584	war	2.0	4.0	6.0	0.3333333333333333	0.6666666666666666	baseline_sbert-carrier	0.1317775
1007220243276673024	war	2.0	6.0	8.0	0.25	0.75	baseline_sbert-carrier	0.13450181
1007383418508804096	war	6.0	3.0	9.0	0.6666666666666666	0.3333333333333333	baseline_sbert-carrier	0.09423222
1007383504907317249	war	8.0	0.0	8.0	1.0	0.0	baseline_sbert-carrier	0.06879701
1007474892080545793	war	2.0	6.0	8.0	0.25	0.75	baseline_sbert-carrier	0.09569629
1008345406458290176	war	5.0	3.0	8.0	0.625	0.375	baseline_sbert-carrier	0.070741214
1008671853743869954	war	6.0	0.0	6.0	1.0	0.0	baseline_sbert-carrier	0.09120267
1008809307369082882	war	5.0	4.0	9.0	0.5555555555555556	0.4444444444444444	baseline_sbert-carrier	0.07196123
1008880417582305280	war	7.0	0.0	7.0	1.0	0.0	baseline_sbert-carrier	0.09352238
1008890536768540678	war	8.0	0.0	8.0	1.0	0.0	baseline_sbert-carrier	0.08645369
1008906632405962752	war	4.0	5.0	9.0	0.4444444444444444	0.5555555555555556	baseline_sbert-carrier	0.117545135
1009157898478538753	war	6.0	2.0	8.0	0.75	0.25	baseline_sbert-carrier	0.13042511
1009240642877153280	war	7.0	1.0	8.0	0.875	0.125	baseline_sbert-carrier	0.062708326
1009463818852995073	war	4.0	2.0	6.0	0.6666666666666666	0.3333333333333333	baseline_sbert-carrier	0.17475253
1009491338528772106	war	5.0	2.0	7.0	0.7142857142857143	0.2857142857142857	baseline_sbert-carrier	0.18262847
1010140690624471041	war	1.0	7.0	8.0	0.125	0.875	baseline_sbert-carrier	0.13948864
1010929794375135234	war	6.0	2.0	8.0	0.75	0.25	baseline_sbert-carrier	0.19893502
1011049459554365440	war	6.0	1.0	7.0	0.8571428571428571	0.1428571428571428	baseline_sbert-carrier	0.07534407
1011152368912797696	war	5.0	2.0	7.0	0.7142857142857143	0.2857142857142857	baseline_sbert-carrier	0.10064664
